Transaction ID,Date,Day of Week,Time,Type of Card,Entry Mode,Amount,Type of Transaction,Merchant Group,Country of Transaction,Shipping Address,Country of Residence,Gender,Age,Bank,Fraud
#3659 496,14-Oct-20,Wednesday,23,Visa,PIN,£47,ATM,Fashion,USA,USA,USA,F,40.1,RBS,0
#2797 052,14-Oct-20,Wednesday,7,Visa,PIN,£7,ATM,Gaming,USA,USA,USA,F,39.9,Halifax,0
#3380 280,13-Oct-20,Tuesday,19,Visa,PIN,£219,ATM,Subscription,USA,USA,USA,F,56.2,Halifax,0
#3637 162,13-Oct-20,Tuesday,19,MasterCard,PIN,£10,ATM,Restaurant,USA,USA,USA,F,36.8,Lloyds,0
#2729 757,13-Oct-20,Tuesday,13,Visa,PIN,£23,ATM,Restaurant,USA,USA,USA,M,53.1,HSBC,0
#3556 052,14-Oct-20,Wednesday,11,Visa,PIN,£11,ATM,Entertainment,USA,USA,USA,M,48.1,Barclays,0
#3609 400,14-Oct-20,Wednesday,15,MasterCard,PIN,£24,ATM,Restaurant,USA,USA,USA,F,35.5,RBS,0
#3492 411,13-Oct-20,Tuesday,22,Visa,PIN,£170,ATM,Restaurant,USA,USA,United Kingdom,M,38.1,HSBC,0
#2994 251,14-Oct-20,Wednesday,18,MasterCard,PIN,£288,ATM,Fashion,USA,USA,USA,M,50.4,RBS,0
#2585 606,14-Oct-20,Wednesday,15,MasterCard,PIN,£14,ATM,Entertainment,USA,USA,USA,M,49.6,HSBC,0
#3425 858,13-Oct-20,Tuesday,21,MasterCard,PIN,£354,ATM,Restaurant,USA,USA,United Kingdom,F,45.3,HSBC,1
#3273 552,14-Oct-20,Wednesday,9,MasterCard,PIN,£15,ATM,Fashion,USA,USA,USA,M,54.7,Monzo,0
#2816 287,13-Oct-20,Tuesday,10,Visa,PIN,£18,ATM,Children,USA,USA,USA,F,38.3,RBS,0
#2747 709,13-Oct-20,Tuesday,22,MasterCard,PIN,£17,ATM,Food,USA,USA,USA,M,60.6,Lloyds,0
#3023 449,13-Oct-20,Tuesday,6,Visa,PIN,£10,ATM,Entertainment,USA,USA,United Kingdom,M,57.7,Barclays,1
#3026 931,14-Oct-20,Wednesday,13,Visa,PIN,£17,ATM,Entertainment,USA,USA,United Kingdom,F,53.9,Barclays,0
#2898 410,14-Oct-20,Wednesday,8,MasterCard,PIN,£19,ATM,Services,USA,USA,United Kingdom,F,37.1,Barlcays,0
#2883 231,14-Oct-20,Wednesday,18,Visa,PIN,£20,ATM,Gaming,USA,USA,USA,M,43.6,Barlcays,0
#3043 941,14-Oct-20,Wednesday,22,Visa,PIN,£52,ATM,Children,USA,USA,USA,M,47.6,Halifax,0
#3634 986,14-Oct-20,Wednesday,19,MasterCard,PIN,£80,ATM,Food,USA,USA,United Kingdom,F,42.8,Metro,0
#2773 458,13-Oct-20,Tuesday,23,MasterCard,PIN,£318,ATM,Food,USA,USA,USA,M,40.2,Barclays,0
#2695 596,14-Oct-20,Wednesday,23,MasterCard,PIN,£19,ATM,Entertainment,USA,USA,United Kingdom,F,45.2,Metro,0
#3336 480,14-Oct-20,Wednesday,1,MasterCard,PIN,£13,ATM,Gaming,USA,USA,United Kingdom,M,23,Metro,1
#2833 069,14-Oct-20,Wednesday,10,MasterCard,PIN,£232,ATM,Entertainment,USA,USA,USA,F,39,Barlcays,0
#3060 013,14-Oct-20,Wednesday,8,Visa,PIN,£25,ATM,Entertainment,USA,USA,USA,F,34.7,RBS,0
#3108 310,13-Oct-20,Tuesday,12,Visa,PIN,£49,ATM,Food,USA,USA,United Kingdom,F,60.1,Halifax,0
#3649 035,13-Oct-20,Tuesday,7,Visa,PIN,£27,ATM,Children,USA,USA,USA,M,45.2,RBS,0
#3207 090,14-Oct-20,Wednesday,9,Visa,PIN,£26,ATM,Products,USA,USA,United Kingdom,F,47.1,Barclays,0
#2702 547,14-Oct-20,Wednesday,14,Visa,PIN,£26,ATM,Restaurant,USA,USA,USA,M,33.9,HSBC,0
#3326 247,13-Oct-20,Tuesday,9,Visa,PIN,£8,ATM,Products,USA,USA,United Kingdom,F,25,Barclays,1
#3483 947,14-Oct-20,Wednesday,14,MasterCard,PIN,£19,ATM,Electronics,USA,USA,USA,M,51.6,Barclays,0
#2961 879,13-Oct-20,Tuesday,19,MasterCard,PIN,£30,ATM,Restaurant,USA,United Kingdom,USA,F,33.6,Metro,0
#2611 446,14-Oct-20,Wednesday,17,MasterCard,PIN,£383,ATM,Restaurant,USA,USA,USA,M,41.2,Barclays,0
#2618 264,13-Oct-20,Tuesday,9,Visa,PIN,£30,ATM,Fashion,USA,USA,USA,F,36,RBS,0
#2642 760,14-Oct-20,Wednesday,15,MasterCard,PIN,£274,ATM,Products,USA,USA,USA,F,41.3,Lloyds,0
#3602 285,13-Oct-20,Tuesday,21,Visa,PIN,£57,ATM,Subscription,USA,USA,USA,F,36,Lloyds,0
#3568 816,13-Oct-20,Tuesday,22,MasterCard,PIN,£398,ATM,Subscription,USA,USA,USA,F,46.1,Halifax,0
#2621 189,14-Oct-20,Wednesday,9,Visa,PIN,£22,ATM,Fashion,USA,USA,United Kingdom,F,48.7,Barlcays,1
#3650 379,13-Oct-20,Tuesday,16,Visa,PIN,£10,ATM,Entertainment,USA,USA,USA,M,38.1,Barlcays,0
#2823 603,14-Oct-20,Wednesday,8,Visa,PIN,£24,ATM,Restaurant,USA,USA,USA,F,35.9,Barlcays,0
#3579 502,13-Oct-20,Tuesday,18,Visa,PIN,£291,ATM,Entertainment,USA,USA,USA,F,33.3,Metro,0
#2939 017,13-Oct-20,Tuesday,17,Visa,PIN,£127,ATM,Gaming,USA,USA,USA,M,50.3,Lloyds,0
#2842 067,14-Oct-20,Wednesday,20,Visa,PIN,£17,ATM,Subscription,USA,USA,United Kingdom,F,52.5,Barclays,0
#2669 821,13-Oct-20,Tuesday,13,MasterCard,PIN,£292,ATM,Gaming,USA,USA,USA,M,53.1,Barclays,0
#3179 266,14-Oct-20,Wednesday,13,Visa,PIN,£25,ATM,Electronics,USA,USA,United Kingdom,F,35.3,Barclays,1
#3515 472,13-Oct-20,Tuesday,11,Visa,PIN,£6,ATM,Restaurant,USA,USA,United Kingdom,M,24,RBS,1
#2947 197,13-Oct-20,Tuesday,12,Visa,PIN,£314,ATM,Children,USA,USA,USA,F,50.6,Barlcays,0
#3376 079,14-Oct-20,Wednesday,14,Visa,PIN,£18,ATM,Entertainment,USA,USA,USA,M,51.7,Halifax,0
#2551 961,14-Oct-20,Wednesday,14,MasterCard,PIN,£23,ATM,Services,USA,USA,USA,F,45.1,Halifax,0
#3231 790,14-Oct-20,Wednesday,10,Visa,PIN,£70,ATM,Products,USA,USA,USA,M,43.9,RBS,0
#3360 993,13-Oct-20,Tuesday,21,MasterCard,PIN,£22,ATM,Products,USA,USA,USA,M,41.7,Lloyds,0
#2950 807,14-Oct-20,Wednesday,14,Visa,PIN,£9,ATM,Gaming,USA,USA,United Kingdom,F,43,Barclays,0
#3484 662,13-Oct-20,Tuesday,18,Visa,PIN,£209,ATM,Services,USA,USA,United Kingdom,F,40,Barlcays,0
#3556 026,14-Oct-20,Wednesday,21,MasterCard,PIN,£109,ATM,Services,USA,USA,USA,F,53.2,Monzo,0
#2922 514,13-Oct-20,Tuesday,16,Visa,PIN,£24,ATM,Fashion,USA,USA,USA,F,22.8,RBS,0
#3537 215,13-Oct-20,Tuesday,12,Visa,PIN,£124,ATM,Entertainment,USA,USA,United Kingdom,F,52.7,Barlcays,0
#3481 604,13-Oct-20,Tuesday,19,Visa,PIN,£15,ATM,Subscription,USA,United Kingdom,USA,F,46,Metro,0
#2943 666,14-Oct-20,Wednesday,20,MasterCard,PIN,£11,ATM,Entertainment,USA,USA,USA,F,31.2,Barlcays,0
#3217 708,13-Oct-20,Tuesday,22,MasterCard,PIN,£233,ATM,Fashion,USA,USA,United Kingdom,F,33.1,Monzo,0
#3467 941,14-Oct-20,Wednesday,21,MasterCard,PIN,£173,ATM,Food,USA,USA,USA,F,40.2,Barclays,0
#3212 741,14-Oct-20,Wednesday,7,Visa,PIN,£320,ATM,Restaurant,USA,USA,USA,M,28.4,Barclays,0
#2843 798,13-Oct-20,Tuesday,11,MasterCard,PIN,£17,ATM,Electronics,USA,USA,USA,F,30.4,HSBC,0
#3074 129,13-Oct-20,Tuesday,21,MasterCard,PIN,£254,ATM,Products,USA,USA,USA,M,54.7,Monzo,0
#2804 063,13-Oct-20,Tuesday,21,Visa,PIN,£11,ATM,Services,USA,USA,USA,F,36.1,Metro,0
#2702 596,13-Oct-20,Tuesday,19,MasterCard,PIN,£20,ATM,Restaurant,USA,USA,USA,M,46.4,HSBC,0
#3093 176,14-Oct-20,Wednesday,8,MasterCard,PIN,£184,ATM,Gaming,USA,USA,USA,F,41.3,Barclays,0
#3335 964,14-Oct-20,Wednesday,12,MasterCard,PIN,£112,ATM,Children,USA,United Kingdom,USA,M,40.4,Monzo,0
#3217 652,13-Oct-20,Tuesday,12,MasterCard,PIN,£20,ATM,Entertainment,USA,USA,United Kingdom,M,33.1,Barclays,1
#3263 264,14-Oct-20,Wednesday,15,MasterCard,PIN,£204,ATM,Entertainment,USA,USA,United Kingdom,M,37.6,HSBC,0
#2829 139,13-Oct-20,Tuesday,23,Visa,PIN,£14,ATM,Restaurant,USA,USA,United Kingdom,F,38.9,RBS,1
#3383 623,13-Oct-20,Tuesday,9,MasterCard,PIN,£23,ATM,Products,USA,USA,USA,F,49.1,Lloyds,0
#3442 743,14-Oct-20,Wednesday,8,Visa,PIN,£65,ATM,Services,USA,USA,United Kingdom,M,38.1,Barclays,0
#3145 453,14-Oct-20,Wednesday,19,Visa,PIN,£144,ATM,Gaming,USA,USA,United Kingdom,M,46.5,Barclays,1
#2872 287,14-Oct-20,Wednesday,9,Visa,PIN,£20,ATM,Electronics,USA,USA,USA,M,34.5,Metro,0
#3484 572,14-Oct-20,Wednesday,9,Visa,PIN,£304,ATM,Entertainment,USA,USA,USA,M,41.9,HSBC,0
#3504 718,14-Oct-20,Wednesday,15,Visa,PIN,£29,ATM,Gaming,USA,USA,United Kingdom,F,37.1,Barlcays,0
#3502 011,14-Oct-20,Wednesday,10,MasterCard,PIN,£304,ATM,Subscription,USA,USA,United Kingdom,M,56.2,Halifax,0
#3032 481,14-Oct-20,Wednesday,21,MasterCard,PIN,£178,ATM,Subscription,USA,USA,USA,M,40.4,Halifax,0
#3432 081,14-Oct-20,Wednesday,15,Visa,PIN,£196,ATM,Children,USA,USA,United Kingdom,M,68.1,HSBC,0
#3544 574,13-Oct-20,Tuesday,8,Visa,PIN,£225,ATM,Electronics,USA,United Kingdom,USA,F,58.9,Barlcays,0
#2656 103,13-Oct-20,Tuesday,13,MasterCard,PIN,£56,ATM,Services,USA,USA,USA,M,35.9,RBS,0
#3145 184,13-Oct-20,Tuesday,9,Visa,PIN,£10,ATM,Subscription,USA,USA,USA,M,43.6,HSBC,0
#3403 179,13-Oct-20,Tuesday,8,MasterCard,PIN,£91,ATM,Restaurant,USA,USA,USA,M,45.5,Monzo,0
#2824 776,14-Oct-20,Wednesday,9,MasterCard,PIN,£13,ATM,Gaming,USA,USA,USA,F,36.9,HSBC,0
#3463 634,14-Oct-20,Wednesday,18,MasterCard,PIN,£21,ATM,Electronics,USA,USA,USA,F,65.5,Lloyds,0
#2761 928,13-Oct-20,Tuesday,23,MasterCard,PIN,£130,ATM,Gaming,USA,USA,United Kingdom,M,43.8,Lloyds,0
#2575 655,13-Oct-20,Tuesday,0,MasterCard,PIN,£26,ATM,Fashion,USA,USA,United Kingdom,F,38.5,Lloyds,1
#3051 065,13-Oct-20,Tuesday,21,MasterCard,PIN,£15,ATM,Fashion,USA,USA,USA,F,37.6,Barlcays,0
#2554 454,14-Oct-20,Wednesday,23,Visa,PIN,£10,ATM,Subscription,USA,United Kingdom,USA,M,51.4,RBS,0
#3489 608,13-Oct-20,Tuesday,23,Visa,PIN,£5,ATM,Services,USA,United Kingdom,USA,M,42.3,HSBC,0
#3531 044,14-Oct-20,Wednesday,12,MasterCard,PIN,£25,ATM,Electronics,USA,USA,USA,F,56.1,Barclays,0
#3292 238,14-Oct-20,Wednesday,12,MasterCard,PIN,£330,ATM,Restaurant,USA,USA,USA,M,51.8,Lloyds,0
#2571 322,13-Oct-20,Tuesday,22,Visa,PIN,£5,ATM,Fashion,USA,USA,USA,F,41,Lloyds,0
#2842 235,13-Oct-20,Tuesday,17,MasterCard,PIN,£13,ATM,Food,USA,USA,United Kingdom,M,40.4,RBS,0
#3127 250,14-Oct-20,Wednesday,23,MasterCard,PIN,£348,ATM,Entertainment,USA,USA,USA,F,36.2,RBS,0
#3465 972,13-Oct-20,Tuesday,13,Visa,PIN,£6,ATM,Subscription,USA,USA,USA,F,36.8,Barclays,0
#2588 981,14-Oct-20,Wednesday,9,MasterCard,PIN,£18,ATM,Services,USA,USA,USA,M,56,HSBC,0
#3233 847,14-Oct-20,Wednesday,10,Visa,PIN,£24,ATM,Food,USA,USA,USA,M,34.1,Halifax,0
#3126 806,14-Oct-20,Wednesday,17,Visa,PIN,£27,ATM,Restaurant,USA,USA,USA,M,37.6,Monzo,0
#3288 158,14-Oct-20,Wednesday,3,MasterCard,PIN,£391,ATM,Gaming,USA,USA,United Kingdom,F,41.9,Halifax,1
#2727 212,13-Oct-20,Tuesday,14,Visa,PIN,£27,ATM,Food,USA,United Kingdom,USA,F,29.6,Monzo,0
#2909 883,14-Oct-20,Wednesday,7,Visa,PIN,£21,ATM,Electronics,USA,USA,USA,M,32.6,Halifax,0
#2943 702,14-Oct-20,Wednesday,12,MasterCard,PIN,£91,ATM,Products,USA,USA,USA,F,37.7,Halifax,0
#2776 139,13-Oct-20,Tuesday,9,MasterCard,PIN,£15,ATM,Entertainment,USA,USA,USA,F,44.4,Barlcays,0
#3094 244,13-Oct-20,Tuesday,22,MasterCard,PIN,£17,ATM,Restaurant,USA,USA,United Kingdom,M,39,Barlcays,0
#3340 567,13-Oct-20,Tuesday,18,MasterCard,PIN,£13,ATM,Children,USA,USA,USA,F,46.9,Barclays,0
#2785 372,13-Oct-20,Tuesday,5,MasterCard,PIN,£29,ATM,Products,USA,USA,United Kingdom,M,48.4,Halifax,1
#3405 517,14-Oct-20,Wednesday,21,Visa,PIN,£5,ATM,Subscription,USA,USA,USA,M,43.6,RBS,0
#3637 067,13-Oct-20,Tuesday,2,MasterCard,PIN,£24,ATM,Fashion,USA,USA,United Kingdom,M,44.5,Barlcays,1
#3155 850,14-Oct-20,Wednesday,15,Visa,PIN,£183,ATM,Subscription,USA,USA,United Kingdom,M,45.4,Metro,0
#3596 212,13-Oct-20,Tuesday,23,Visa,PIN,£12,ATM,Food,USA,USA,United Kingdom,M,45,RBS,1
#3340 123,13-Oct-20,Tuesday,13,MasterCard,PIN,£22,ATM,Gaming,USA,USA,USA,F,55.7,Lloyds,0
#3387 708,13-Oct-20,Tuesday,10,MasterCard,PIN,£140,ATM,Gaming,USA,USA,USA,F,50.5,RBS,0
#2563 385,14-Oct-20,Wednesday,20,MasterCard,PIN,£13,ATM,Children,USA,USA,USA,F,34,HSBC,0
#3046 413,14-Oct-20,Wednesday,10,Visa,PIN,£394,ATM,Gaming,USA,USA,USA,M,51.8,Barclays,0
#2926 794,13-Oct-20,Tuesday,21,MasterCard,PIN,£110,ATM,Fashion,USA,USA,United Kingdom,M,40.1,Lloyds,1
#2586 103,14-Oct-20,Wednesday,9,MasterCard,PIN,£221,ATM,Fashion,USA,USA,USA,F,69.5,Barclays,0
#3021 809,14-Oct-20,Wednesday,13,Visa,PIN,£15,ATM,Food,USA,USA,United Kingdom,M,42.4,Barclays,1
#3035 418,13-Oct-20,Tuesday,13,Visa,PIN,£6,ATM,Gaming,USA,USA,USA,M,50.1,HSBC,0
#3562 786,13-Oct-20,Tuesday,17,Visa,PIN,£5,ATM,Restaurant,USA,USA,USA,F,52.4,Barclays,0
#3570 413,13-Oct-20,Tuesday,18,Visa,PIN,£8,ATM,Services,USA,USA,USA,F,37.7,Barclays,0
#2769 823,13-Oct-20,Tuesday,21,MasterCard,PIN,£304,ATM,Fashion,USA,USA,United Kingdom,F,52.8,Halifax,0
#3186 668,14-Oct-20,Wednesday,17,Visa,PIN,£26,ATM,Fashion,USA,USA,USA,F,49.9,HSBC,0
#3241 772,14-Oct-20,Wednesday,14,MasterCard,PIN,£183,ATM,Fashion,USA,USA,USA,F,45.8,RBS,0
#3134 290,14-Oct-20,Wednesday,10,Visa,PIN,£100,ATM,Restaurant,USA,USA,USA,M,35.9,RBS,0
#3630 345,13-Oct-20,Tuesday,9,Visa,PIN,£31,ATM,Children,USA,USA,USA,F,56.3,Barclays,0
#3147 062,14-Oct-20,Wednesday,13,MasterCard,PIN,£29,ATM,Restaurant,USA,USA,United Kingdom,F,62.3,Barclays,0
#3237 158,13-Oct-20,Tuesday,12,Visa,PIN,£22,ATM,Restaurant,USA,USA,United Kingdom,F,64.5,Barclays,1
#2863 224,13-Oct-20,Tuesday,22,MasterCard,PIN,£56,ATM,Restaurant,USA,USA,USA,F,46.8,Barclays,0
#2603 916,13-Oct-20,Tuesday,5,Visa,PIN,£19,ATM,Gaming,USA,USA,United Kingdom,M,62.6,Halifax,1
#3099 011,13-Oct-20,Tuesday,23,MasterCard,PIN,£105,ATM,Products,USA,USA,USA,F,36.8,Barclays,0
#3102 882,13-Oct-20,Tuesday,20,Visa,PIN,£400,ATM,Restaurant,USA,USA,USA,M,52.4,Metro,0
#2772 537,13-Oct-20,Tuesday,19,Visa,PIN,£23,ATM,Products,USA,United Kingdom,USA,M,59.1,Barclays,0
#3431 015,13-Oct-20,Tuesday,14,MasterCard,PIN,£352,ATM,Entertainment,USA,USA,United Kingdom,M,36.2,Barclays,0
#3184 136,13-Oct-20,Tuesday,18,MasterCard,PIN,£20,ATM,Products,USA,USA,USA,M,53.3,Monzo,0
#2579 714,13-Oct-20,Tuesday,13,MasterCard,PIN,£21,ATM,Fashion,USA,USA,USA,M,38.1,Metro,0
#3408 703,14-Oct-20,Wednesday,17,Visa,PIN,£303,ATM,Restaurant,USA,USA,USA,F,39.3,Barclays,0
#3632 147,13-Oct-20,Tuesday,10,MasterCard,PIN,£51,ATM,Electronics,USA,USA,USA,M,40.7,Barclays,0
#2900 983,14-Oct-20,Wednesday,20,MasterCard,PIN,£18,ATM,Services,USA,USA,USA,M,44.2,Monzo,0
#3660 105,14-Oct-20,Wednesday,20,Visa,PIN,£198,ATM,Fashion,USA,USA,USA,F,41.1,Monzo,0
#2835 091,14-Oct-20,Wednesday,13,Visa,PIN,£5,ATM,Subscription,USA,USA,United Kingdom,M,50.8,HSBC,1
#3347 270,13-Oct-20,Tuesday,23,Visa,PIN,£61,ATM,Children,USA,USA,USA,M,59.1,Halifax,0
#3455 540,13-Oct-20,Tuesday,21,Visa,PIN,£19,ATM,Subscription,USA,USA,United Kingdom,M,56.1,Metro,1
#3070 913,13-Oct-20,Tuesday,14,Visa,PIN,£222,ATM,Gaming,USA,USA,USA,F,49.2,HSBC,0
#3466 544,14-Oct-20,Wednesday,23,Visa,PIN,£359,ATM,Entertainment,USA,USA,United Kingdom,F,46,RBS,0
#3288 785,14-Oct-20,Wednesday,9,Visa,PIN,£385,ATM,Entertainment,USA,USA,USA,F,35.2,HSBC,0
#3606 722,14-Oct-20,Wednesday,1,Visa,PIN,£23,ATM,Food,USA,USA,United Kingdom,M,47.1,Metro,1
#3627 721,13-Oct-20,Tuesday,21,Visa,PIN,£21,ATM,Gaming,USA,USA,USA,M,43.7,Metro,0
#3598 397,13-Oct-20,Tuesday,21,Visa,PIN,£109,ATM,Services,USA,USA,USA,F,29.3,Barclays,0
#3400 539,14-Oct-20,Wednesday,21,MasterCard,PIN,£381,ATM,Subscription,USA,USA,USA,F,35.1,Halifax,0
#3213 753,13-Oct-20,Tuesday,17,MasterCard,PIN,£74,ATM,Electronics,USA,USA,United Kingdom,M,56.9,Barlcays,0
#2641 687,13-Oct-20,Tuesday,23,Visa,PIN,£192,ATM,Subscription,USA,USA,USA,M,50,Halifax,0
#3026 237,13-Oct-20,Tuesday,21,Visa,PIN,£120,ATM,Fashion,USA,USA,United Kingdom,M,67.8,Barclays,0
#2798 850,14-Oct-20,Wednesday,15,Visa,PIN,£286,ATM,Children,USA,USA,USA,M,62.4,Barclays,0
#2907 002,14-Oct-20,Wednesday,10,MasterCard,PIN,£9,ATM,Gaming,USA,USA,USA,F,39.9,Monzo,0
#3174 322,14-Oct-20,Wednesday,17,Visa,PIN,£98,ATM,Services,USA,USA,United Kingdom,M,45.1,Barclays,0
